name,location,price_lakhs,area_sqft,bhk,is_starred
ceebros the atlantic,egmore,445,1975,3,1
leo skylab avenue,sithalapakkam,100,1200,2,0
"villivakkam, chennai, chennai north",villivakkam,475,1410,7,0
shri vana durga apartment,madambakkam,28,617,1,0
shri vana durga apartment,madambakkam,55,984,2,0
tvs emerald atrium at greenacres,perungalathur,98,1225,3,0
casagrand first city,ganallur,60,610,1,1
casagrand first city,ganallur,190,2450,4,1
"mkb nagar, vyasarpadi, chennai, chennai north","mkb nagar, vyasarpadi",175,1600,4,0
kg signature,maduravoyal,195,2520,4,0
jains advaya,kovur,82,1356,3,0
south india shelters marakesh,"bharani dharan boss, urapakkam",88,1370,3,0
5th street,"kumaran colony, gst road",125,958,2,0
skr niwas,pallavaram,448,4925,10,0
olympia grande,pallavaram,99,1186,2,1
"choolai, chennai, chennai central",choolai,275,1248,4,0
oliyas green court,medavakkam,115,1371,3,0
astrum sierra,"ambal nagar, mangadu",78,1035,3,0
"olympia opaline, garnet block",navalur,122,1776,3,0
radiance shine,"kazhipattur, omr",70,1298,3,0
urbanrise jubilee residences,guduvancheri,37,594,2,1
casa grand smart town,"thalambur, omr",46,570,1,0
palavanthangal,nanganallur,72,815,2,0
navins starwood towers 2,medavakkam,145,1484,3,1
darshan aishwaryam,kovur,75.6,1260,3,0
indus royal tulip,koyambedu,120,1386,3,0
arun excello sankara,"mambakkam, vandalur kelambakkam road",54,615,2,0
"porur, chennai, chennai west",porur,330,2400,6,0
svs enclave,guduvancheri,42,930,2,0
subhathra apartments,"tellus avenue, sembakkam",68,1025,3,0
hno 530,"milk colony, madhavaram milk colony",72,2400,2,0
kavins castle,ayakapuram,45,424,1,0
"senneer kuppam, chennai, chennai west",senneer kuppam,274,2736,2,0
real earth euphoria,pallikaranai,93,1376,3,0
navins starwood towers 2,medavakkam,52,594,2,0
not exactly apartment.,pallikaranai,95,1770,2,0
srika homes at thalambur,"sachidananda puram, omr",64,1100,2,0
"nelson manickam road, aminjikarai, chennai, chennai central",jikarai,320,4450,7,0
casagrand supremus,"thalambur, omr",85,1421,3,1
on request,t nagar,115,770,2,0
lake side apartments,surapet,62,1020,2,0
sri krishna kruba,kodungaiyur,69,880,2,0
vestas sriram,"puzhuthivakkam, madipakkam",105,1208,3,0
anry homes,"radha avenue, valasaravakkam",91.84,1032,2,0
olympia jayanthi residences,adyar,390,1970,3,0
tvs emerald peninsula,manapakkam,175,1801,3,0
casagrand ecr14,ecr,180,1679,3,1
"kundrathur, chennai, chennai south",kundrathur,105,1200,2,0
"mannivakkam, chennai, chennai south",mannivakkam,105,1750,2,0
marutham orchid,urapakkam,49.9,1090,2,0
tvh ouranya bay,padur,79,1210,2,1
indus,"i block anna nagar, anna nagar west",206,1245,3,0
no name,"gh nagar, ponniammanmedu",61,1015,2,0
"royal homes, ragavendra colony",urapakkam west,44,979,2,0
appaswamy the bloomingdale,pammal,42,643,2,0
gemini aster,"thalambur, omr",53,980,2,0
apartment,"kathirvedu, puzhal",80,870,2,0
saai mugil,chitlapakkam,107,1647,3,0
jayam sri sai garden hill view,perumbakkam,88,1000,3,0
karuppaiya flats,kelambakkam,42,743,2,0
udhayam saimugil,chitlapakkam,125,1618,3,0
sri sai nagar,"ivasapuram, papanthangal",206,1965,3,0
orchid gardens,tambaram,78.73,1458,3,0
"red hills, chennai, chennai north",red hills,73,1800,3,0
sri sai resident,perumbakkam,89,1000,3,0
"mudichur, chennai, chennai south",mudichur,265,5300,9,0
ramaniyam isha thoraipakkam,thoraipakkam,255,2512,3,0
orchid gardens,tambaram,73.39,1359,3,0
javesia apartment,anakaputhur,80,1437,3,0
urbanrise revolution one,padur,65,918,3,1
ksheera paduka,east tambaram,73.44,1080,2,0
cholayil,"padi kuppam, koyambedu",99,1650,2,0
kurinji flats,"maraimalai nagar, gst road",43,903,2,0
casagrand bellissimo,"kannan colony, gst road",325,2330,4,1
gemini aster,"thalambur, omr",52,980,2,0
livehomes,"kathirvedu, puzhal",76.45,1140,3,0
urbanrise codename new porur,thirumazhisai,45,633,1,1
kv homes,ambattur,97,1335,3,0
"kovur, chennai, chennai south",kovur,135,1000,3,0
"kundrathur, chennai, chennai south",kundrathur,138,800,3,0
hansa one oh one,nungambakkam,287,1677,3,0
"kovilpathagai, avadi, chennai north","kovilpathagai, avadi",125,1680,4,0
"kovur, chennai, chennai south",kovur,135,1200,2,0
sri sai swarna bhoomi,navalur,93,900,3,0
casagrand pavilion,"thalambur, omr",87.42,1200,2,1
babu residency,"rose nagar, kovilambakkam",95.17,1236,3,0
ramkhar homes's,perumbakkam,187,1308,4,0
kurinji flats,"maraimalai nagar, gst road",41.5,928,2,0
new flat,ayyapakkam,56.87,874,2,0
new,choolaimedu,196,1400,3,0
new,shenoy nagar,388,2100,3,0
on request,kelambakkam,79,1106,2,0
kaaviya garden partha enclave,kattupakkam,79.96,967,2,0
kaaviya garden partha enclave,kattupakkam,79,963,2,0
new flat,kattupakkam,100,1250,3,0
"kothari nagar, nesapakkam, chennai, chennai west","kothari nagar, nesapakkam",350,1900,3,0
"irandam kattalai, thandalam, chennai, chennai west","irandam kattalai, thandalam",73,830,2,0
"samaya puram, thandalam, chennai, chennai west","samaya puram, thandalam",75,815,2,0
metro grand city,kundrathur,105,1250,2,1
rk flats,ambattur,61.98,1033,2,0
scc homes,east tambaram,69.2,960,2,0
